timestamp,trial,response_time,cursor_position,target_response,response
2024-02-17 15:33:01.551947,5,0.10593310004333034,192,d,a
2024-02-17 15:33:01.747563,5,0.1683206000016071,192,d,d
2024-02-17 15:33:01.889839,5,0.12751269998261705,193,a,space
2024-02-17 15:33:02.251717,5,0.33879750000778586,193,a,d
2024-02-17 15:33:02.409682,5,0.13031430001137778,193,a,a
2024-02-17 15:33:02.587698,5,0.15908800001488999,194,space,space
2024-02-17 15:33:02.845458,5,0.23251170001458377,195,b,b
2024-02-17 15:33:02.927024,5,0.06394899997394532,196,e,e
2024-02-17 15:33:03.050936,5,0.08597369998460636,197,l,l
2024-02-17 15:33:03.178973,5,0.09912020002957433,198,i,i
2024-02-17 15:33:03.225667,5,0.03009709995239973,199,z,z
2024-02-17 15:33:03.439532,5,0.1911794999614358,200,e,e
2024-02-17 15:33:03.551267,5,0.0878367000259459,201,space,space
2024-02-17 15:33:03.751487,5,0.16849070001626387,202,s,s
2024-02-17 15:33:03.822888,5,0.04372469999361783,203,o,o
2024-02-17 15:33:03.882173,5,0.016451199946459383,204,m,m
2024-02-17 15:33:03.984925,5,0.06923169997753575,205,a,a
2024-02-17 15:33:04.096407,5,0.08275050000520423,206,l,l
2024-02-17 15:33:04.234185,5,0.10553020000224933,207,i,i
2024-02-17 15:33:04.331005,5,0.06925609998870641,208,a,a
2024-02-17 15:33:04.425032,5,0.06334339996101335,209,space,space
2024-02-17 15:33:04.785391,5,0.3208430999657139,210,k,k
2024-02-17 15:33:04.888383,5,0.07522810000227764,211,o,o
2024-02-17 15:33:05.210987,5,0.2973989999736659,212,s,s
2024-02-17 15:33:05.325214,5,0.09559129999252036,213,o,o
2024-02-17 15:33:05.424878,5,0.07816610002191737,214,v,z
2024-02-17 15:33:05.582152,5,0.13661309995222837,214,v,o
2024-02-17 15:33:05.952593,5,0.3385812000487931,214,v,o
2024-02-17 15:33:06.462668,5,0.48286170000210404,214,v,v
2024-02-17 15:33:06.890462,5,0.41037169995252043,215,o,o
2024-02-17 15:33:07.774341,6,0.8612754999776371,0,r,r
2024-02-17 15:33:07.868155,6,0.06995189998997375,1,o,o
2024-02-17 15:33:07.913405,6,0.01545459998305887,2,m,m
2024-02-17 15:33:07.997289,6,0.04619620001176372,3,a,a
2024-02-17 15:33:08.124110,6,0.09131879999767989,4,n,n
2024-02-17 15:33:08.224748,6,0.07865089998813346,5,i,i
2024-02-17 15:33:08.337874,6,0.09160499996505678,6,a,a
2024-02-17 15:33:08.412381,6,0.04910930001642555,7,space,space
2024-02-17 15:33:08.848185,6,0.3992656000191346,8,t,t
2024-02-17 15:33:08.942460,6,0.07902339997235686,9,u,u
2024-02-17 15:33:09.084114,6,0.12097470002481714,10,r,r
2024-02-17 15:33:09.187997,6,0.07429199997568503,11,k,k
2024-02-17 15:33:09.588549,6,0.37550399999599904,12,m,m
2024-02-17 15:33:09.681600,6,0.06761649996042252,13,e,e
2024-02-17 15:33:09.776795,6,0.06333779997657984,14,n,n
2024-02-17 15:33:09.923496,6,0.12387479998869821,15,i,s
2024-02-17 15:33:10.126462,6,0.17990490002557635,15,i,i
2024-02-17 15:33:10.292957,6,0.14571740000974387,16,s,s
2024-02-17 15:33:10.502907,6,0.1891689000185579,17,t,t
2024-02-17 15:33:10.655350,6,0.1243356000049971,18,a,a
2024-02-17 15:33:10.813821,6,0.1339103000354953,19,n,n
2024-02-17 15:33:11.024418,6,0.19416260003345087,20,space,space
2024-02-17 15:33:11.207227,6,0.15991960000246763,21,c,c
2024-02-17 15:33:11.297329,6,0.06616569997277111,22,h,h
2024-02-17 15:33:11.379250,6,0.04498780000722036,23,a,a
2024-02-17 15:33:11.507097,6,0.09152670000912622,24,d,d
2024-02-17 15:33:11.627333,6,0.09664390003308654,25,space,space
2024-02-17 15:33:12.029998,6,0.38210390001768246,26,g,g
2024-02-17 15:33:12.211274,6,0.16358660004334524,27,r,r
2024-02-17 15:33:12.332086,6,0.1010105999885127,28,e,e
2024-02-17 15:33:12.464132,6,0.11696209997171536,29,e,e
2024-02-17 15:33:12.618299,6,0.13789780001388863,30,c,c
2024-02-17 15:33:12.722429,6,0.07408349995967001,31,e,e
2024-02-17 15:33:13.134057,6,0.38165190001018345,32,space,minus
2024-02-17 15:33:13.278312,6,0.13078610005322844,32,space,lshift
2024-02-17 15:33:13.625594,6,0.32845709996763617,32,space,space
2024-02-17 15:33:14.048680,6,0.4011272999923676,33,b,a
2024-02-17 15:33:14.319049,6,0.25501490000169724,33,b,b
2024-02-17 15:33:14.453550,6,0.10600169998360798,34,a,a
2024-02-17 15:33:14.559915,6,0.07885910000186414,35,h,h
2024-02-17 15:33:14.645817,6,0.06548239995026961,36,a,a
2024-02-17 15:33:14.791748,6,0.11105220002355054,37,m,m
2024-02-17 15:33:14.906625,6,0.09225619997596368,38,a,a
2024-02-17 15:33:15.186936,6,0.25624330004211515,39,s,a
2024-02-17 15:33:15.263076,6,0.04855259996838868,39,s,s
2024-02-17 15:33:15.381477,6,0.08106160000897944,40,space,space
2024-02-17 15:33:15.756405,6,0.3585353000089526,41,j,j
2024-02-17 15:33:15.831428,6,0.04980979999527335,42,a,a
2024-02-17 15:33:15.985229,6,0.11870120000094175,43,p,p
2024-02-17 15:33:16.092724,6,0.07757999998284504,44,a,a
